miRNA	SC	SC.p	SC.fdr	PC	PC.p	PC.fdr	DC
hsa-miR-4787-5p	-0.0352	0.614	0.97922181372549	-0.0331	0.6351	0.910138888888889	0.1347
hsa-miR-4800-3p	-0.0352	0.6134	0.97922181372549	-0.0217	0.7559	0.937390463917526	0.1088
hsa-miR-483-5p	0.0921	0.1856	0.969370567375887	0.2238	0.0012	0.114	0.1845
hsa-miR-484-3p:Novel	-0.1354	0.0511	0.898981481481481	-0.1999	0.0038	0.200555555555556	0.1929
hsa-miR-499b-5p	0.0024	0.9731	0.996598101265823	-0.0357	0.6087	0.899705882352941	0.1092
hsa-miR-5001-5p	-0.062	0.3736	0.969370567375887	-0.0906	0.1929	0.638465517241379	0.1273
hsa-miR-5006-5p	-0.0091	0.8959	0.989656976744186	-0.0286	0.6814	0.916643258426966	0.0998
hsa-miR-501-3p	0.0555	0.4256	0.969370567375887	0.0418	0.5491	0.884097682119205	0.1549
hsa-miR-504-5p	-0.0266	0.7028	0.97922181372549	-0.0545	0.4346	0.819655511811024	0.1486
hsa-miR-5090-3p:Novel	0.0521	0.4546	0.969370567375887	0.0523	0.453	0.829605769230769	0.1226
hsa-miR-5091	-0.035	0.6156	0.97922181372549	-0.0458	0.5109	0.866705357142857	0.132
hsa-miR-5091-3p:Novel	0.046	0.5094	0.969370567375887	0.0425	0.5419	0.881100682593857	0.1115
hsa-miR-5092	-0.0298	0.6695	0.97922181372549	0.0272	0.6967	0.920248655913979	0.1189
hsa-miR-5093	0.0207	0.7664	0.97922181372549	-0.0687	0.3241	0.747317961165049	0.0924
hsa-miR-5100	-0.0245	0.7256	0.97922181372549	-0.0188	0.7877	0.942462216624685	0.1013
hsa-miR-5186	-0.0781	0.2623	0.969370567375887	-0.123	0.0768	0.60525390625	0.1372
hsa-miR-5187-5p	-0.0668	0.3375	0.969370567375887	-0.0425	0.5426	0.881100682593857	0.1388
hsa-miR-5189-3p	0.137	0.0485	0.898981481481481	0.0761	0.2743	0.696751336898396	0.1736
hsa-miR-5191	0.0656	0.3463	0.969370567375887	-0.0038	0.957	0.9796875	0.1359
hsa-miR-5193	-0.0298	0.6693	0.97922181372549	-0.0796	0.2531	0.679329608938548	0.1284
hsa-miR-5193-5p:Novel	0.1526	0.0278	0.8253125	0.1345	0.0527	0.60525390625	0.1908
hsa-miR-5196-5p	0.0031	0.9644	0.995847826086956	-0.0631	0.365	0.773995535714286	0.1382
hsa-miR-519a-5p, hsa-miR-519c-5p, hsa-miR-519b-5p, hsa-miR-523-5p, hsa-miR-518e-5p, hsa-miR-522-5p	-0.0015	0.9828	0.996598101265823	0.0546	0.4335	0.819655511811024	0.1343
hsa-miR-548aa, hsa-miR-548t-3p	0.0146	0.8343	0.97922181372549	-0.0513	0.4615	0.83668893129771	0.1122
hsa-miR-548d-5p	0.0592	0.3959	0.969370567375887	-0.0378	0.5877	0.899503154574132	0.119
hsa-miR-548h-5p	-0.0015	0.9832	0.996598101265823	-0.0095	0.8911	0.9796875	0.1001
hsa-miR-548i	0.123	0.0767	0.925170454545454	0.1373	0.0479	0.60525390625	0.1637
hsa-miR-550a-3-5p	-0.0198	0.7764	0.97922181372549	0.0088	0.9001	0.9796875	0.1169
hsa-miR-550a-3p	-0.0402	0.5643	0.969370567375887	2e-04	0.9975	0.9975	0.1268
hsa-miR-550b-3p	-0.0419	0.5479	0.969370567375887	-0.0529	0.448	0.828015564202335	0.1192
hsa-miR-551a	-0.1124	0.106	0.969351851851852	-0.0382	0.5839	0.899503154574132	0.1486
hsa-miR-5691-3p:Novel	0.0716	0.304	0.969370567375887	0.0212	0.7611	0.937390463917526	0.1119
hsa-miR-5694-3p:Novel	-0.0892	0.2001	0.969370567375887	-0.0626	0.3688	0.778577777777778	0.1259
hsa-miR-5698	0.0231	0.7404	0.97922181372549	0.0339	0.6269	0.907858231707317	0.1135
hsa-miR-5706-3p:Novel	0.1219	0.0794	0.925170454545454	0.1517	0.0288	0.60525390625	0.1592
hsa-miR-572	-0.0394	0.5719	0.969370567375887	0.0039	0.955	0.9796875	0.1036
hsa-miR-575	0.0279	0.6895	0.97922181372549	-0.0181	0.795	0.94489375	0.1068
hsa-miR-584-5p	-0.0288	0.6794	0.97922181372549	-0.0706	0.311	0.739408866995074	0.1229
hsa-miR-595-5p:Novel	-0.0512	0.463	0.969370567375887	-0.0896	0.1981	0.640077160493827	0.1198
hsa-miR-598-5p	0.0917	0.1877	0.969370567375887	0.0971	0.1631	0.60525390625	0.1505
hsa-miR-599	0.1371	0.0482	0.898981481481481	0.19	0.006	0.257291666666667	0.186
hsa-miR-6068-3p:Novel	-0.0719	0.3022	0.969370567375887	0.0044	0.9494	0.9796875	0.1493
hsa-miR-6069-3p:Novel	0.0286	0.6814	0.97922181372549	0.0317	0.6497	0.910138888888889	0.106
hsa-miR-607	0.0257	0.7124	0.97922181372549	-0.0474	0.4966	0.859271582733813	0.1106
hsa-miR-607-5p:Novel	-0.0634	0.3629	0.969370567375887	-0.0872	0.2106	0.640077160493827	0.1227
hsa-miR-6070	-0.0201	0.7737	0.97922181372549	-0.0198	0.7765	0.938517811704835	0.1158
hsa-miR-6070-3p:Novel	-0.0556	0.4248	0.969370567375887	-0.0105	0.8806	0.9796875	0.1143
hsa-miR-6071	-0.0626	0.3693	0.969370567375887	-0.1007	0.1479	0.60525390625	0.1459
hsa-miR-6075	-0.0446	0.5221	0.969370567375887	-0.0902	0.1949	0.638465517241379	0.129
hsa-miR-6076-3p:Novel	0.0437	0.5305	0.969370567375887	-0.0169	0.8081	0.947771604938272	0.137
hsa-miR-6077	-0.0366	0.5998	0.97922181372549	0.0129	0.8529	0.966891408114559	0.116
hsa-miR-608-3p:Novel	0.1318	0.0577	0.903897058823529	-0.0026	0.9707	0.98732869379015	0.1318
hsa-miR-6081	-0.0868	0.2124	0.969370567375887	-0.0158	0.8209	0.951506097560976	0.1405
