miRNA	SC	SC.p	SC.fdr	PC	PC.p	PC.fdr	DC
hsa-miR-1302	-0.1696	0.0022	0.0411583333333333	-0.1598	0.0039	0.125078571428571	0.1737
hsa-miR-1306-3p	0.1384	0.0127	0.109659615384615	0.1173	0.0349	0.311658823529412	0.1314
hsa-miR-1307-3p	-0.0927	0.0956	0.307565	-0.1252	0.0242	0.276709302325581	0.1399
hsa-miR-1324	-0.0365	0.5126	0.723765408805031	-0.0039	0.9449	0.979815473441108	0.0749
hsa-miR-137-3p	-0.032	0.5658	0.76182125748503	-0.0968	0.0819	0.391203191489362	0.1211
hsa-miR-143-3p	-0.0509	0.3613	0.618698098859316	-0.0827	0.1373	0.407266025641026	0.1096
hsa-miR-1469-3p:Novel	-0.1583	0.0043	0.0577285714285714	-0.1436	0.0097	0.218377272727273	0.1703
hsa-miR-148a-3p	-0.1047	0.0597	0.254017592592593	-0.0787	0.1574	0.425738554216867	0.0961
hsa-miR-149-3p	0.0614	0.2704	0.507989958158996	-0.0497	0.3721	0.667666535433071	0.0904
hsa-miR-151a-3p	-0.0062	0.9121	0.954386046511628	-0.0723	0.1945	0.462066137566138	0.1025
hsa-miR-1587-3p:Novel	0.0487	0.3827	0.63156043956044	-0.0423	0.4475	0.715044483985765	0.1114
hsa-miR-181b-5p	-0.0233	0.6766	0.833909863013699	0.145	0.0089	0.218377272727273	0.1329
hsa-miR-181c-3p	-0.0761	0.172	0.412220212765957	-0.0463	0.4064	0.69595	0.1347
hsa-miR-182-3p	0.0132	0.8126	0.906033578431373	0.0201	0.719	0.867063538873995	0.0852
hsa-miR-182-5p	-0.1201	0.0307	0.181873417721519	-0.0811	0.1454	0.413193670886076	0.1457
hsa-miR-1910-3p	-0.0734	0.1878	0.429271212121212	0.0072	0.8971	0.960966904761905	0.1074
hsa-miR-1913	-0.0403	0.47	0.689640522875817	-0.0527	0.3445	0.654175949367089	0.1005
hsa-miR-192-5p	-0.1956	4e-04	0.0299333333333333	-0.085	0.127	0.397949315068493	0.1143
hsa-miR-194-1-3p:Novel	-0.1971	4e-04	0.0299333333333333	-0.0973	0.0803	0.391203191489362	0.1366
hsa-miR-194-3p	-0.2142	1e-04	0.011225	-0.1007	0.0704	0.391203191489362	0.1416
hsa-miR-194-5p	-0.1427	0.0101	0.0964872340425532	-0.126	0.0233	0.276709302325581	0.1659
hsa-miR-197-5p	-0.0485	0.384	0.63156043956044	-0.0665	0.2326	0.509450731707317	0.1102
hsa-miR-199a-3p, hsa-miR-199b-3p	0.0037	0.947	0.973004576659039	-0.0799	0.1513	0.416771165644172	0.0969
hsa-miR-200a-3p	-0.1383	0.0127	0.109659615384615	-0.095	0.0878	0.397949315068493	0.1244
hsa-miR-200b-3p	-0.1849	8e-04	0.0326545454545455	-0.0806	0.1479	0.414418633540373	0.1104
hsa-miR-200c-3p	-0.1802	0.0011	0.0329266666666667	-0.0879	0.1144	0.397949315068493	0.1172
hsa-miR-206-5p:Novel	0.043	0.4408	0.664309060402685	0.0518	0.3523	0.659094583333333	0.0932
