ID	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	comparison	treshold	abstemious.x	light.x	heavy.x	abstemious.y	light.y	heavy.y
hsa-miR-4330-5p:Novel	26.6140490328162	0.528407298663084	0.281949046480674	1.87412337533584	0.0609134221742318	0.341524682299273	heavy_vs_light	FALSE	140.012	10.636	26.837	5.214	5.391	4.428
hsa-miR-4418	54.167203748096	-0.182696542502845	0.284448560079863	-0.642283239020618	0.520689295004254	0.779158427907339	heavy_vs_light	FALSE	45.917	51.484	59.683	16.945	20.733	17.102
hsa-miR-4418-5p:Novel	2.60649494844162	-0.271720417251975	0.421905900237004	-0.644030854034839	0.519555426672631	0.778870489217493	heavy_vs_light	FALSE	1.669	2.907	2.053	0.228	0.331	0.277
hsa-miR-4420	3.45380903154442	0.304199021483075	0.399353929019863	0.761727879401797	0.446222432295245	0.736201366366555	heavy_vs_light	FALSE	3.257	3.541	3.332	0	0.732	0.945
hsa-miR-4420-5p:Novel	3.40270269717083	-0.364617436463998	0.265019982249272	-1.37581111193739	0.168880120306778	0.496997939695642	heavy_vs_light	FALSE	3.68	3.427	3.107	2.383	2.038	2.094
hsa-miR-4421	14.2002047572443	-1.01437728996319	0.320204452812664	-3.16790500898078	0.00153541679569663	0.0893513515947329	heavy_vs_light	FALSE	10.347	15.352	12.18	6.038	5.418	2.793
hsa-miR-4421-5p:Novel	5.86103062922603	0.569703845868056	0.475664329076109	1.19770142733764	0.23103327346682	0.562461572650665	heavy_vs_light	FALSE	7.28	6.059	5.266	0.333	0.462	0.797
hsa-miR-4422	3.91909297627461	-0.132926018026698	0.290299902594223	-0.457892051767238	0.647029997492386	0.851463124596946	heavy_vs_light	FALSE	5.924	3.697	3.55	0.684	0.924	0.519
hsa-miR-4422-3p:Novel	1.65018537048263	0.505838295342102	0.237316353188064	2.13149363095616	0.0330484965918107	NA	heavy_vs_light	NA	1.327	1.57	2.161	1.14	0.992	1.476
hsa-miR-4423-3p	0.141005061432489	-0.122800170316271	1.06959807770486	-0.114809640065711	0.908596007919641	NA	heavy_vs_light	NA	0.07	0.174	0.083	0	0	0
hsa-miR-4423-5p	0.350246810533429	-0.445352496119478	0.466361062915546	-0.954952142306373	0.339601899338575	NA	heavy_vs_light	NA	0.231	0.378	0.317	0	0	0
hsa-miR-4424	0.767397680200239	-0.291360884436262	0.379126763088972	-0.768505188244616	0.442187109505257	NA	heavy_vs_light	NA	0.753	0.758	0.738	0	0	0
hsa-miR-4424-3p:Novel	0.567753444034551	-0.318034768849771	0.385163646953235	-0.825713359413654	0.408966712124053	NA	heavy_vs_light	NA	0.747	0.555	0.523	0.456	0	0
hsa-miR-4425	8.70704310277544	-0.173514268174466	0.266444491555832	-0.651221074833545	0.514903787897829	0.77597034227708	heavy_vs_light	FALSE	9.343	9.894	6.005	5.702	4.616	4.307
hsa-miR-4425-5p:Novel	6.15455232624588	-0.379414338692096	0.277054777240344	-1.36945604212757	0.170856766479482	0.497855478359123	heavy_vs_light	FALSE	30.37	3.837	3.88	4.099	2.104	2.421
hsa-miR-4426	6.8523350774951	0.041158211193021	0.477698682341777	0.0861593567544609	0.931339739127877	0.974422175278665	heavy_vs_light	FALSE	6.263	7.384	6.83	0	0.835	0.86
hsa-miR-4426-3p:Novel	5.49375304225149	0.0780850319936215	0.266085525352277	0.293458397972768	0.769171793968332	0.900445111173829	heavy_vs_light	FALSE	7.615	4.813	5.958	3.155	2.395	3.625
hsa-miR-4427	0.77410288902902	-0.524134969899691	0.3967531571366	-1.32106061532671	0.186481153848037	NA	heavy_vs_light	NA	1.054	0.722	0.752	0	0	0
hsa-miR-4427-5p:Novel	3.44208171189395	-0.0787646386072826	0.256420414309535	-0.307169921784008	0.758714038467388	0.899290489747153	heavy_vs_light	FALSE	3.271	2.842	4.501	1.582	1.762	1.974
hsa-miR-4428	7.86887455532385	0.106351768117185	0.260485645252159	0.408282644574265	0.683066179503882	0.864737816017546	heavy_vs_light	FALSE	5.486	7.911	7.902	2.559	4.476	3.542
hsa-miR-4428-5p:Novel	1.38332113460538	-0.21036467250968	0.285254911278388	-0.737462053035011	0.460841411499329	NA	heavy_vs_light	NA	1.509	1.354	1.312	1.327	0.648	0.729
hsa-miR-4429	2.92744864878491	-0.321876329086742	0.241162759999748	-1.33468504460257	0.181979450369748	0.509381156715976	heavy_vs_light	FALSE	3.471	2.787	2.862	1.665	1.613	0.937
hsa-miR-4429-3p:Novel	14.7433101920716	-0.0495290279984535	0.207337400299087	-0.238881301333031	0.81119762523846	0.916944408652245	heavy_vs_light	FALSE	18.431	13.977	14.535	14.821	8.702	8.319
hsa-miR-4430	3.79281517873718	0.531050289160488	0.254379071369139	2.08763357104115	0.0368309012889245	0.284309842732266	heavy_vs_light	FALSE	10.9	2.584	4.283	3.91	1.518	2.789
hsa-miR-4430-3p:Novel	8.78097765996778	0.129052624067273	0.222253850287248	0.580654165947998	0.561473558231271	0.800077645378525	heavy_vs_light	FALSE	12.54	7.563	9.74	6.164	4.568	5.545
hsa-miR-4431	18.0728705341566	0.06259939799411	0.223825962038182	0.279678896156967	0.779723870868519	0.907477349063921	heavy_vs_light	FALSE	20.551	16.996	19.055	7.956	12.67	11.222
hsa-miR-4431-3p:Novel	5.11239130476543	0.240146019982477	0.249239135599107	0.963516501552724	0.33528838708902	0.666002228936967	heavy_vs_light	FALSE	10.736	4.118	5.545	4.98	2.576	2.188
hsa-miR-4432	6.35335686413275	-0.681720633975796	0.328214211400646	-2.07706007325695	0.0377960150528761	0.285399844285199	heavy_vs_light	FALSE	10.548	6.486	4.487	2.246	2.199	1.89
hsa-miR-4432-5p:Novel	0.986956570573111	-0.661675839555656	0.352549842829852	-1.87682920021892	0.0605415069804271	NA	heavy_vs_light	NA	1.638	1.012	0.703	1.046	0.256	0
hsa-miR-4433a-3p	2.84848571441683	0.020355159627377	0.252194177851508	0.0807122503809825	0.935670794209068	0.974567039695819	heavy_vs_light	FALSE	6.13	2.262	2.987	2.607	1.536	1.514
hsa-miR-4433a-5p	0.729013911523466	-0.438454575825271	0.396208618677851	-1.10662553805214	0.268455861154887	NA	heavy_vs_light	NA	0.38	0.899	0.418	0	0	0
hsa-miR-4433b-3p	5.55380998600273	0.0796284629895202	0.236055172230373	0.337329880286666	0.735868237152878	0.890346277547815	heavy_vs_light	FALSE	12.008	4.046	6.536	4.766	2.812	3.286
