ID	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	comparison	treshold	never.x	former.x	_16.x	16_.x	never.y	former.y	_16.y	16_.y
hsa-miR-4678-3p:Novel	1.10255997937636	0.107574584488634	0.331798640932948	0.324216471128865	0.745774152870144	NA	former_vs_never	NA	1.019	1.306	1.202	0.349	0.298	0.34	0.58	0
hsa-miR-4679	0.400491733459402	0.25904604139282	0.468120264158752	0.553374979095054	0.580006668416507	NA	former_vs_never	NA	0.383	0.365	0.668	0.084	0	0	0	0
hsa-miR-4679-3p:Novel	2.00512743825449	-0.0519580522506658	0.415949805707802	-0.124914236135418	0.900591447843196	NA	former_vs_never	NA	2.269	1.558	1.279	3.126	0.144	0.23	0	0.58
hsa-miR-4680-3p	0.350629629702506	-0.286068499983492	0.58261769408372	-0.491005513372522	0.62342254807107	NA	former_vs_never	NA	0.242	0.4	0.55	0.527	0	0	0	0
hsa-miR-4680-5p	0.186204145355501	-0.414028577917983	0.887462625477985	-0.466530720316236	0.640835663590946	NA	former_vs_never	NA	0.252	0.13	0.087	0.086	0	0	0	0
hsa-miR-4681	1.134279176226	-0.0129900869105055	0.296992596203375	-0.0437387567116662	0.965112645375525	NA	former_vs_never	NA	1.1	1.145	1.314	0.755	0.419	0.221	0.872	0.456
hsa-miR-4681-3p:Novel	1.91703639904462	0.0763901414791235	0.292209113052609	0.261422858038552	0.793766431591959	NA	former_vs_never	NA	2.039	1.349	1.478	4.254	0.969	0.948	1.007	0.909
hsa-miR-4682	5.80227286262207	-0.612239813804741	0.243453549151052	-2.51481161782067	0.0119096001437612	0.243178757807613	former_vs_never	FALSE	7.436	4.131	4.091	2.859	3.888	2.908	2.433	2.178
hsa-miR-4682-3p:Novel	26.1501258804604	-0.173845957585147	0.202305646130135	-0.859323310597663	0.390162166928911	0.772084372571045	former_vs_never	FALSE	27.764	22.953	24.106	27.647	17.318	11.519	18.294	19.225
hsa-miR-4683	32.7954862718301	-0.0153294947962489	0.202631425065973	-0.0756521096925507	0.939695877674118	0.981402181123992	former_vs_never	FALSE	32.4	30.121	38.728	30.618	21.053	16.065	27.833	19.781
hsa-miR-4683-5p:Novel	5.67905942365311	-0.112154233466928	0.251519698998616	-0.445906360072202	0.655664887879374	0.884737135884778	former_vs_never	FALSE	6.137	5.003	5.163	5.14	2.931	3.738	2.911	1.087
hsa-miR-4684-3p	40.1978692253394	-0.577151120483454	0.268517270754541	-2.14940036766217	0.0316026763345056	0.314882080184108	former_vs_never	FALSE	12.635	6.899	9.533	491.403	3.899	3.682	4.03	7.803
hsa-miR-4684-5p	0.0786502562220101	-0.115380812153888	1.43108941350689	-0.08062446068352	0.935740612715379	NA	former_vs_never	NA	0.086	0.082	0.069	0	0	0	0	0
hsa-miR-4685-3p	0.224797828780968	-0.279475250703105	0.826531873025015	-0.338130034453791	0.735265197906583	NA	former_vs_never	NA	0.29	0.183	0.105	0.09	0	0	0	0
