ID	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	comparison	treshold	Averagea.drinker	Averagea.no_drinker	Mediana.drinker	Mediana.no_drinker
hsa-miR-4759	0.661469202982211	-1.40253997171787	1.52282479018885	-0.921012043377583	0.357044139309219	NA	a.no_drinker_vs_a.drinker	NA	0.816985672059683	0.914343241371532	0	0.333065999027202
hsa-miR-4759-3p:Novel	1.97515096369913	-0.019991175044453	1.12663928401011	-0.0177440777435855	0.985843017219692	NA	a.no_drinker_vs_a.drinker	NA	2.22295095950325	3.39173246703067	0.598888443156347	2.78841640858077
hsa-miR-4760-3p	0.113789235331522	0.0849046249891608	7.30703484856992	0.011619573020892	0.990729130700907	NA	a.no_drinker_vs_a.drinker	NA	0.145101514095557	0.0293517516692712	0	0
hsa-miR-4760-5p	7.06831845300782	-1.74275036665581	0.895454574977798	-1.94621861940793	0.0516284842482959	0.412729736343417	a.no_drinker_vs_a.drinker	FALSE	7.59362112457038	2.44780086429839	4.53280987358554	1.30347504090334
hsa-miR-4761-3p	4.11685178995561	-0.483347129246194	0.975268051758631	-0.495604391402558	0.620173553909237	0.882189645097906	a.no_drinker_vs_a.drinker	FALSE	4.32037031252187	1.19375625498765	1.32845288472192	1.30347504090334
hsa-miR-4761-5p	0.370375515316564	-1.20500633343963	1.76069134272824	-0.684393853821329	0.493726496034583	NA	a.no_drinker_vs_a.drinker	NA	0.39467532284388	0.42271260237197	0	0.146758758346356
hsa-miR-4762-3p	0.439769146161983	-0.139118943451587	2.12100303757786	-0.065591109954495	0.947703367101253	NA	a.no_drinker_vs_a.drinker	NA	0.455318926850844	0.733793791731782	0	0
hsa-miR-4762-5p	0.398386464262626	0.0941612626974031	1.83852582469077	0.0512156323467691	0.959153695380808	NA	a.no_drinker_vs_a.drinker	NA	0.418561947467979	0.54475628591245	0	0
hsa-miR-4763-3p	8.8019745936068	0.675562833477113	0.504551348700507	1.33893772203177	0.180590948087992	0.598801564712817	a.no_drinker_vs_a.drinker	FALSE	10.0073791734191	16.5070142665751	6.29861714465174	14.3382254499367
hsa-miR-4763-5p	0.438966476180394	-0.461394418528885	1.30165547804748	-0.354467388883109	0.722988639422438	NA	a.no_drinker_vs_a.drinker	NA	0.482590334770725	0.540680166137905	0	0.666131998054403
hsa-miR-4764-3p	0.0493946218881465	0.377747243872858	7.30255948183182	0.0517280612109579	0.958745377553057	NA	a.no_drinker_vs_a.drinker	NA	0.0704365089312041	0.0587035033385424	0	0
hsa-miR-4764-5p	1.01065777358707	0.354439073673095	0.952810534067375	0.371993235801098	0.70989788559988	NA	a.no_drinker_vs_a.drinker	NA	1.01582286269569	1.19146300541777	0.465057302629607	1.02731130842449
hsa-miR-4765	3.67698017603469	0.519209983991631	0.552627959362946	0.939528981831034	0.347459219441416	0.75558003238076	a.no_drinker_vs_a.drinker	FALSE	3.79640989475703	7.02665506089557	2.92234524535054	6.51737520451669
hsa-miR-4765-5p:Novel	0.570613601620498	0.624018452373802	1.52055932348669	0.410387442788427	0.681521756304384	NA	a.no_drinker_vs_a.drinker	NA	0.600329840150577	1.71189997298373	0	0.880552550078137
hsa-miR-4766-3p	1.00787823007586	1.88519104224889	1.40902382217729	1.33794121332584	0.180915600936143	NA	a.no_drinker_vs_a.drinker	NA	0.858338371797586	4.66180934050046	0	0.333065999027202
hsa-miR-4766-5p	0.662847618863514	-0.0386842840815104	1.12384750157867	-0.0344212929487056	0.972541204213552	NA	a.no_drinker_vs_a.drinker	NA	0.745144981513764	1.03618918767274	0	0.666131998054403
hsa-miR-4767	15.7772902707516	2.13202391734311	0.758069605726702	2.81243819991874	0.00491674705981298	0.18357663803973	a.no_drinker_vs_a.drinker	FALSE	16.9636994891107	30.2307736081889	9.16196062119885	17.6110510015627
hsa-miR-4767-3p:Novel	7.36455583944697	-0.334695642773917	0.557990697338676	-0.599822979792029	0.548624216741949	0.850098619919639	a.no_drinker_vs_a.drinker	FALSE	8.99783484420905	8.51703027466838	6.80956364526991	6.27393113243364
hsa-miR-4768-3p	1.21289865069415	-2.26942357378352	1.63978923031193	-1.38397272761196	0.166366805680356	NA	a.no_drinker_vs_a.drinker	NA	1.19895041000604	0.50631733050339	0	0
hsa-miR-4768-5p	2.04347142546135	1.18536301595687	0.767907801143546	1.5436267403348	0.122678783156006	NA	a.no_drinker_vs_a.drinker	NA	2.1575225062177	3.64036830674172	1.31885842397323	1.99839599416321
hsa-miR-4769-3p	0.0817962358783187	-0.082723968587363	7.30643176016658	-0.0113220750296143	0.990966484138169	NA	a.no_drinker_vs_a.drinker	NA	0.0917708528347326	0.0293517516692712	0	0
hsa-miR-4769-5p	4.48742614637632	-0.24818161128181	0.861523685253332	-0.288072882417425	0.773290949842491	0.938441027070159	a.no_drinker_vs_a.drinker	FALSE	4.79460081251463	6.12643061309574	2.49031137821653	5.21390016361335
hsa-miR-4770	6.06796153020144	-0.774672740062691	0.562821401494875	-1.37640952885788	0.168694879514949	0.579270563554498	a.no_drinker_vs_a.drinker	FALSE	6.45234492642002	4.03042800915013	5.62402704250525	3.91042512271001
hsa-miR-4770-5p:Novel	2.44887598059835	0.79669021838908	0.994705017785017	0.800931134501693	0.42317151452829	NA	a.no_drinker_vs_a.drinker	NA	1.96905969443726	4.57181828389162	0.782269785271974	2.09131037747788
