ID	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	comparison	treshold	Average_inactive	Average_active	Median_inactive	Median_active
hsa-miR-378f-5p:Novel	7.29351645048378	0.105834340171264	0.239156121688015	0.442532432054267	0.65810396680924	NA	active_vs_inactive	NA	7.27877356856862	7.22206703021899	3.49119332247832	3.49019727172211
hsa-miR-378g	1.19556330579053	-0.408362248113828	0.305685597492945	-1.33588972284915	0.181585320571934	NA	active_vs_inactive	NA	1.32343939031491	1.073700915026	0.435056665285266	0
hsa-miR-378g-3p:Novel	2.46518990416793	1.04990737141609	0.321910975828763	3.26148360960075	0.00110830839684385	NA	active_vs_inactive	NA	1.77277224062261	3.25692185828965	0.538655102891228	0.634095846347004
hsa-miR-378h	69.7953415625915	0.232444254627109	0.188792310410777	1.23121674882495	0.21824180879693	0.742810975724489	active_vs_inactive	FALSE	61.9203268659114	73.7275221557281	39.288236191587	47.8747152786447
hsa-miR-378h-3p:Novel	16.6540542030622	0.445149924529516	0.202981897178786	2.19305233972382	0.0283036083095365	0.404488520442096	active_vs_inactive	FALSE	14.4312663630311	19.4932282444222	8.41546135827649	8.67904464954617
hsa-miR-378i	126.479344148675	0.102871392881644	0.271752144395753	0.378548596591138	0.705023099946991	0.959850726433855	active_vs_inactive	FALSE	120.256356751886	138.25983067295	46.8747213612169	32.7702046315452
hsa-miR-378i-3p:Novel	22.6165039527724	-0.192747152923693	0.225825024652916	-0.853524330263829	0.393368601169935	0.866015730967401	active_vs_inactive	FALSE	33.6939228085654	16.5374495067266	8.86527232541218	8.20164324173316
hsa-miR-378j	2.75874142473864	0.512654048604155	0.249581527797982	2.05405445317696	0.0399704216808059	NA	active_vs_inactive	NA	2.29548675504467	3.11980416993675	1.18871824260367	1.35200515223898
hsa-miR-378j-3p:Novel	17.9504487759119	0.12467452489907	0.21002308796351	0.593622949305132	0.552764328064861	0.911667497467141	active_vs_inactive	FALSE	19.1727849707733	18.1717090304412	10.3799305757901	5.85139439224553
hsa-miR-379-3p	0.0819320017506027	-0.14186028758067	1.06197896284427	-0.133581071324361	0.893733852920302	NA	active_vs_inactive	NA	0.108584472184081	0.0641443119557776	0	0
hsa-miR-379-5p	11.8588527292157	-0.54482859364491	0.23771417254603	-2.29194829996689	0.0219086266696858	NA	active_vs_inactive	NA	14.8731707387605	8.963459630215	5.23718050026686	4.84145320787797
hsa-miR-380-3p	0.162152686629835	-0.0171882427618739	1.17616533671152	-0.01461379809911	0.988340291137425	NA	active_vs_inactive	NA	0.152561339360902	0.201839698876812	0	0
hsa-miR-380-5p	2.8961706666571	0.113878597718298	0.278057678555251	0.409550271404105	0.682135882354815	NA	active_vs_inactive	NA	3.08008444050743	2.53181656688348	1.16935485194601	0.807968909892622
hsa-miR-381-3p	0.741408330613239	-0.217768832124737	0.351707930741954	-0.619175210707752	0.53580094055266	NA	active_vs_inactive	NA	1.1337344485528	0.548721410680235	0	0
hsa-miR-381-5p	0.468165359330328	-0.229624524118942	0.4038951603012	-0.568525069594056	0.569678487879959	NA	active_vs_inactive	NA	0.643131883691208	0.397492917917674	0	0
hsa-miR-382-3p	0.131813896276471	0.308965993294913	0.761951268919447	0.405493114714632	0.685115078504584	NA	active_vs_inactive	NA	0.0676424371374717	0.213024647911972	0	0
hsa-miR-382-5p	2.25498786570014	0.92304983419161	0.354945558754588	2.60053918530592	0.00930773883552153	NA	active_vs_inactive	NA	1.71001473428022	2.86849612888838	0.404635458541959	0.453385718287157
hsa-miR-383-3p	0.319147996559771	-0.2396029032323	0.469396395521778	-0.510448962791798	0.609736961773163	NA	active_vs_inactive	NA	0.473016927130129	0.251329108466692	0	0
hsa-miR-383-5p	17.9992261964811	-0.284520581277811	0.265318078938827	-1.07237540093682	0.283551452203625	0.803204952993654	active_vs_inactive	FALSE	17.5043545429794	15.6195305029369	4.78727017999737	3.87757040424845
hsa-miR-384	1.2644472878039	-0.162482208003634	0.311348493338	-0.521866048753424	0.601763598625605	NA	active_vs_inactive	NA	1.43207143449028	1.20975703283663	0.250107494437333	0.370959487290253
hsa-miR-384-5p:Novel	0.638842835866721	-0.304907715892051	0.288589960913586	-1.05654304441779	0.290720186029511	NA	active_vs_inactive	NA	0.837044835572932	0.537213438154703	0	0
hsa-miR-3907	14.4889269318998	0.210115444896323	0.161091609597509	1.30432271066942	0.192123575109726	0.715981317541121	active_vs_inactive	FALSE	12.7877864806817	16.4847562349642	8.74051978497337	8.11609183842954
hsa-miR-3907-5p:Novel	36.2128030681364	0.143108835691624	0.160895948430841	0.889449592033308	0.373761502660988	0.866015730967401	active_vs_inactive	FALSE	40.0435440340307	34.4011954641253	23.7594977274458	19.8202633651881
hsa-miR-3908	6.203773300447	-0.0866184173472726	0.181493138129955	-0.477254502510452	0.633180904832098	NA	active_vs_inactive	NA	7.62815697474264	5.66483488089801	3.99869467981439	3.43051126664515
hsa-miR-3908-3p:Novel	1.71379462856631	0.0331428078400621	0.241224396672173	0.137394095693826	0.890719297745114	NA	active_vs_inactive	NA	1.99995006635602	1.58294565836595	0.654791228171801	0.831875790669184
hsa-miR-3909	5.78753006315686	-0.0809381466141306	0.193450458254677	-0.418392116226345	0.675660449738493	NA	active_vs_inactive	NA	6.53487670942211	5.35127094112682	4.12820359364983	3.51500043824432
hsa-miR-3909-5p:Novel	4.59012710534974	0.116032652218449	0.211079354997288	0.549711042180983	0.582517581940611	NA	active_vs_inactive	NA	4.45393654295874	4.65873719096605	2.52012831977331	2.67237170289753
hsa-miR-3910	1.55546425467088	0.121195024146913	0.280506476694745	0.432057846132375	0.665699371098318	NA	active_vs_inactive	NA	1.51180409062555	1.56894303212929	0.59136807666703	0.585139439224553
hsa-miR-3910-5p:Novel	1.49781209188781	-0.0874113097589044	0.27518809595708	-0.317642045724745	0.750756476729729	NA	active_vs_inactive	NA	1.67827769409434	1.56316084507354	0.482775078012556	0.456184753440995
hsa-miR-3911	8.91868111531546	0.0457037137495933	0.193488685395316	0.236208715027528	0.813270717229757	NA	active_vs_inactive	NA	9.06613497292078	9.09707091562841	5.38466566107429	4.73375649709131
hsa-miR-3911-3p:Novel	28.9826416196193	0.0297902144241451	0.170080143055204	0.175153982640265	0.860958641812994	0.97823724175769	active_vs_inactive	FALSE	29.3935712612403	29.8008924122997	18.1393351762571	19.2396472050412
hsa-miR-3912-3p	0.604299735883796	0.465747771477065	0.485835417669785	0.958653392770196	0.337733385162348	NA	active_vs_inactive	NA	0.453849158983603	0.872324230907174	0	0
hsa-miR-3912-5p	0.715238316462514	-0.0225337224866068	0.415357227035949	-0.0542514274938968	0.956734847766077	NA	active_vs_inactive	NA	0.675543676469649	0.709892518106313	0	0
hsa-miR-3913-3p	1.64974928309708	-0.187848699118238	0.240239535439083	-0.781922504032939	0.43426011868153	NA	active_vs_inactive	NA	1.84774199369065	1.52028411262098	1.03501973890626	0.807968909892622
hsa-miR-3913-5p	0.691755684239005	-0.21850374480399	0.317588564089577	-0.688008856459832	0.491447204202337	NA	active_vs_inactive	NA	0.721588198129998	0.712477267495702	0	0
hsa-miR-3914	1.39460567542198	0.271490263829196	0.239765657138777	1.13231505741482	0.257502001899322	NA	active_vs_inactive	NA	1.3730854673225	1.44733965830922	0.671158853010595	0.791813837895565
hsa-miR-3914-5p:Novel	1.21459952376116	-0.113796826407967	0.242691581224817	-0.468894824590358	0.639144815800291	NA	active_vs_inactive	NA	1.39468889781569	1.0716814874762	0.585173732093488	0.493061881491974
hsa-miR-3915	2.16881262314309	0.351848833808516	0.289593508575723	1.21497486438483	0.224375678278086	NA	active_vs_inactive	NA	1.68374385869439	2.89952945312912	0.595640722457643	0.797185980175236
hsa-miR-3915-3p:Novel	0.947247165046253	0.0694832361805681	0.29264890907106	0.237428652651141	0.812324263529607	NA	active_vs_inactive	NA	1.1798219136483	0.827733706740123	0	0
hsa-miR-3916	3.04396834887642	-0.187047617568251	0.230841165363606	-0.810287096210181	0.417775189887271	NA	active_vs_inactive	NA	3.81851140949456	2.55546467014093	2.03642898757411	1.55454337483236
hsa-miR-3916-3p:Novel	57.07388488656	-0.0259751255989572	0.142133556372962	-0.182751534977411	0.854992977553651	0.97823724175769	active_vs_inactive	FALSE	61.7078045295745	55.8903474201563	41.2064723486021	42.2508569492875
hsa-miR-3917	4.536562355513	0.203774056154726	0.196783152085672	1.0355259278803	0.300423364279511	NA	active_vs_inactive	NA	4.41525482685492	4.82193500226867	2.63541165110174	2.98721606443592
hsa-miR-3917-5p:Novel	9.02281688451179	-0.0773331384010233	0.153790200782295	-0.502848282970227	0.615070944236861	NA	active_vs_inactive	NA	9.80674964033947	8.67118622096412	6.3070031681627	6.68228676144063
hsa-miR-3918	2.80268155185446	-0.044467767984411	0.251558303423327	-0.176769231543034	0.859689658089267	NA	active_vs_inactive	NA	2.93856432116442	3.01982973506182	0.704228429547547	0.851411687705107
hsa-miR-3918-3p:Novel	3.36973122913016	-0.0258594741418748	0.18310854933835	-0.141224832129992	0.887692329467704	NA	active_vs_inactive	NA	3.50413631247655	3.36486866121081	2.48438708374657	2.38837336048612
hsa-miR-3919	5.39769144935325	0.318810623817704	0.390015838462821	0.817429940984552	0.413682770999939	NA	active_vs_inactive	NA	4.28412668635206	5.35016412268524	0.446286856661309	0.42979712521145
hsa-miR-3919-5p:Novel	0.916981231556695	-0.396210644641939	0.249213736430235	-1.58984272021801	0.111870261658091	NA	active_vs_inactive	NA	1.08976051536641	0.78292027222278	0.548437685065181	0.349019842442595
hsa-miR-3920	32.9847856959978	-0.0704004333622237	0.183044699855406	-0.384607876752705	0.700527957431473	0.959850726433855	active_vs_inactive	FALSE	31.266129781195	35.708645205747	19.7961058509846	17.1085839848527
hsa-miR-3920-5p:Novel	70.1290115142115	-0.313027927113238	0.291578267077638	-1.07356398764071	0.283018145381216	0.803204952993654	active_vs_inactive	FALSE	142.872991127902	40.336171282368	1.03501973890626	1.25786779769642
