ID	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	comparison	treshold	18_37.x	37_53.x	53_81.x	18_37.y	37_53.y	53_81.y
hsa-miR-223-3p	13.3582869473876	-0.317125363139577	0.319779696827268	-0.991699492763217	0.32134413857178	0.635101737615727	37_53_vs_18_37	FALSE	12.63	12.772	14.815	5.234	4.059	3.703
hsa-miR-223-5p	3.53985666314677	-0.0208873126915917	0.443600435919183	-0.0470858705274065	0.962444788533087	0.991199729491018	37_53_vs_18_37	FALSE	3.423	3.488	3.726	0.449	0	0.599
hsa-miR-224-3p	0.220036467582394	-0.74845581801819	0.700867622892552	-1.06789897774024	0.2855660837041	NA	37_53_vs_18_37	NA	0.303	0.12	0.243	0	0	0
hsa-miR-224-5p	4.67403177714647	-0.418403984214747	0.418682119975067	-0.99933568751315	0.317632102994768	0.629889720321266	37_53_vs_18_37	FALSE	8.807	2.234	2.976	0.737	0	0.453
hsa-miR-2276-3p	3.29372707921756	0.344258161293157	0.350081778930669	0.983364979304835	0.325427839870377	0.639935282429668	37_53_vs_18_37	FALSE	2.296	3.383	4.273	1.185	1.024	1.511
hsa-miR-2276-5p	0.967085305270853	-0.13857026729273	0.37178372461097	-0.3727174110102	0.709358776614479	NA	37_53_vs_18_37	NA	1.162	1.072	0.637	0.223	0	0
hsa-miR-2277-3p	6.53061735397167	-0.656224456210949	0.346022912441178	-1.89647688813816	0.0578970132842305	0.286701666952305	37_53_vs_18_37	FALSE	7.481	4.263	8.083	2.569	2.471	1.57
hsa-miR-2277-5p	4.89393660560288	-0.293883405954281	0.285298691209675	-1.0300902703346	0.302967632166679	0.615920320727404	37_53_vs_18_37	FALSE	7.661	3.415	3.581	3.474	1.764	1.391
hsa-miR-2278	2.01906200627541	-0.908562296667782	0.323171120609757	-2.81139693099282	0.00493268917133386	0.0948968678305201	37_53_vs_18_37	FALSE	3.568	1.453	0.986	1.16	0.687	0
hsa-miR-2278-3p:Novel	136.081435942125	0.00797227479400829	0.246066696072545	0.0323988370683772	0.974153989887576	0.993834714951503	37_53_vs_18_37	FALSE	135.011	136.475	136.793	65.89	57.241	66.315
