ID	Average_NO	Average_YES	Median_NO	Median_YES	log2FoldChange	pvalue	padj	comparison	treshold
hsa-miR-4742-5p	0.210913504538738	0.496984254643739	0	0	-1.16224571414474	0.26044654489159	NA	NO_vs_YES	NA
hsa-miR-4743-3p	0.912747048213373	0.510327923184665	0	0	0.0544997202845275	0.952620660724464	NA	NO_vs_YES	NA
hsa-miR-4743-5p	1.75441936393567	2.02087033272518	1.0647492643761	1.09765161837781	-0.327279762865788	0.503256498907918	NA	NO_vs_YES	NA
hsa-miR-4744	1.33458790330108	1.08520364126896	0.114311981720771	0	0.0151432554571875	0.982255598366888	NA	NO_vs_YES	NA
hsa-miR-4744-3p:Novel	3.92270753158949	3.21114729360451	0.81484946266945	0.681587527019029	-0.320375045324594	0.643559459219453	NA	NO_vs_YES	NA
hsa-miR-4745-3p	0.41518133267351	0.585086302645059	0	0	-1.3531176699526	0.110571052218358	NA	NO_vs_YES	NA
hsa-miR-4745-5p	1.91604930347974	1.09565756323587	0.394277391673485	0.329977078425527	-0.376909199994584	0.543551981254475	NA	NO_vs_YES	NA
hsa-miR-4746-3p	1.98899972443203	2.36357271650221	1.16331148185464	1.51089188407325	-0.878163169389818	0.0533049668344327	NA	NO_vs_YES	NA
hsa-miR-4746-5p	2.51436080645872	2.96771089376578	1.8192942192875	1.53453970757338	-0.681210605520472	0.158899047043975	NA	NO_vs_YES	NA
hsa-miR-4747-3p	1.35568142342064	2.77264431129907	0.376051292394871	0.449271350056818	-1.30416906917364	0.0693659047058604	NA	NO_vs_YES	NA
hsa-miR-4747-5p	1.38389017148653	3.20279056014237	0.615136581797187	1.38370153359571	-1.73373104023722	0.00156821501811908	NA	NO_vs_YES	NA
hsa-miR-4748	12.2219170007969	16.225275020254	8.84943146846881	11.1048078914866	0.13668240145785	0.659376603383262	0.841056324848068	NO_vs_YES	FALSE
hsa-miR-4748-3p:Novel	18.6072521783462	17.3181356383653	8.84943146846881	9.03228377067345	-0.467989865321626	0.250238405951574	0.512507504496974	NO_vs_YES	FALSE
hsa-miR-4749-3p	0.0583418312557179	0.171526998263022	0	0	-1.59179766477788	0.516679165663149	NA	NO_vs_YES	NA
hsa-miR-4749-5p	7.50866881273907	8.05017731825313	2.03712365667363	3.82627238418252	-0.76377469306869	0.086473378693366	NA	NO_vs_YES	NA
hsa-miR-4750-3p	7.73580831443215	11.0289066668149	1.10077780131815	3.79803692363063	-0.652682823766313	0.138765351483399	NA	NO_vs_YES	NA
hsa-miR-4750-5p	12.2391047764263	18.0025236100254	7.74106989535978	8.39932247817636	-0.707892379220207	0.0833285284414477	0.284903912268315	NO_vs_YES	FALSE
hsa-miR-4751	5.49094223634102	5.80326639855585	2.12268732258126	2.44509000699046	-0.715011631564168	0.155599283693744	NA	NO_vs_YES	NA
hsa-miR-4751-3p:Novel	16.8211800583111	20.8166046034323	9.09647109643749	14.696300824807	0.121405438941017	0.7203241629969	0.860948710807204	NO_vs_YES	FALSE
hsa-miR-4752	1.55241860154163	2.16988479447784	1.21322275532537	0.954840065749957	-0.518666440508315	0.268343407048983	NA	NO_vs_YES	NA
hsa-miR-4752-3p:Novel	4.2720254655427	2.39832328068077	1.12713352560365	1.24279573467118	-0.32272807120061	0.557450415678	NA	NO_vs_YES	NA
hsa-miR-4753-3p	0.832767645926169	0.56334109845807	0	0	-1.65890474916385	0.0496064927790153	NA	NO_vs_YES	NA
hsa-miR-4753-5p	2.08670309352138	2.09025508281197	1.43925565696022	1.23933579482507	-0.7790476271644	0.108892431813284	NA	NO_vs_YES	NA
hsa-miR-4754	6.1836900465989	8.32342799970497	4.75589938179979	4.7593716419461	-0.364588420536597	0.290751935978428	NA	NO_vs_YES	NA
hsa-miR-4754-3p:Novel	27.3947072735237	48.9253103291501	17.2555794523299	16.58851198144	-0.452973310612702	0.270751357638051	0.530776944760738	NO_vs_YES	FALSE
hsa-miR-4755-3p	5.89790876893675	7.1232377577385	2.63832809083642	2.44865282380058	-1.35247718213067	0.00748730353618342	NA	NO_vs_YES	NA
hsa-miR-4755-5p	0.640283627259712	0.946414884710824	0.148935293188078	0.328629739843445	-1.35646394313142	0.0443228009187288	NA	NO_vs_YES	NA
hsa-miR-4756-3p	0.687869226841284	0.811654304286995	0.238804762595121	0.328745610980053	-0.370892242924964	0.530403375650991	NA	NO_vs_YES	NA
